Mandala,Sukta,Verse_A,Verse_B,Phoneme_Dot_Product,Phoneme_Magnitude_A,Phoneme_Magnitude_B,Phoneme_Cosine_Similarity,Phoneme_Confidence,Swara_Dot_Product,Swara_Magnitude_A,Swara_Magnitude_B,Swara_Cosine_Similarity,Swara_Confidence,Meter_Dot_Product,Meter_Magnitude_A,Meter_Magnitude_B,Meter_Cosine_Similarity,Meter_Confidence
10,125,1,2,1163.000000,37.907783,32.802439,0.935288,0.950089,6423.000000,87.235314,73.871510,0.996710,0.767361,12.000000,4.123106,4.690416,0.620505,0.739057
10,125,1,3,1409.000000,37.907783,37.881394,0.981198,0.954716,7555.000000,87.235314,86.752522,0.998298,0.772059,14.000000,4.123106,4.242641,0.800327,0.870370
10,125,1,4,1284.000000,37.907783,36.414283,0.930175,0.962745,7130.000000,87.235314,82.042672,0.996225,0.781566,11.000000,4.123106,4.898979,0.544581,0.691667
10,125,1,5,1314.000000,37.907783,37.643060,0.920836,0.969697,6352.000000,87.235314,73.328030,0.992997,0.774306,12.000000,4.123106,4.472136,0.650791,0.776667
10,125,1,6,1219.000000,37.907783,32.878564,0.978053,0.960784,5729.000000,87.235314,66.037868,0.994474,0.739583,13.000000,4.123106,4.472136,0.705024,0.797222
10,125,1,7,1292.000000,37.907783,35.805028,0.951897,0.905169,7040.000000,87.235314,81.049368,0.995705,0.788230,11.000000,4.123106,4.582576,0.582182,0.738977
10,125,1,8,1239.000000,37.907783,33.778692,0.967609,0.878431,5121.000000,87.235314,59.245253,0.990852,0.715278,12.000000,4.123106,4.472136,0.650791,0.776667
10,125,2,3,1196.000000,32.802439,37.881394,0.962496,0.966292,6406.000000,73.871510,86.752522,0.999604,0.749183,16.000000,4.690416,4.242641,0.804030,0.828283
10,125,2,4,1137.000000,32.802439,36.414283,0.951881,0.923521,6057.000000,73.871510,82.042672,0.999403,0.757997,13.000000,4.690416,4.898979,0.565752,0.770202
10,125,2,5,1217.000000,32.802439,37.643060,0.985597,0.980392,5408.000000,73.871510,73.328030,0.998366,0.784341,18.000000,4.690416,4.472136,0.858116,0.886364
10,125,2,6,1040.000000,32.802439,32.878564,0.964305,0.948864,4873.000000,73.871510,66.037868,0.998910,0.761704,15.000000,4.690416,4.472136,0.715097,0.821549
10,125,2,7,1157.000000,32.802439,35.805028,0.985107,0.923521,5976.000000,73.871510,81.049368,0.998123,0.764175,15.000000,4.690416,4.582576,0.697863,0.830087
10,125,2,8,1017.000000,32.802439,33.778692,0.917851,0.871591,4362.000000,73.871510,59.245253,0.996679,0.735487,16.000000,4.690416,4.472136,0.762770,0.841492
10,125,3,4,1346.000000,37.881394,36.414283,0.975770,0.920667,7114.000000,86.752522,82.042672,0.999521,0.781863,13.000000,4.242641,4.898979,0.625463,0.732759
10,125,3,5,1369.000000,37.881394,37.643060,0.960047,0.985019,6349.000000,86.752522,73.328030,0.998052,0.755719,16.000000,4.242641,4.472136,0.843274,0.875758
10,125,3,6,1231.000000,37.881394,32.878564,0.988369,0.917263,5722.000000,86.752522,66.037868,0.998787,0.723039,15.000000,4.242641,4.472136,0.790569,0.850725
10,125,3,7,1334.000000,37.881394,35.805028,0.983526,0.920667,7023.000000,86.752522,81.049368,0.998829,0.775327,15.000000,4.242641,4.582576,0.771517,0.827381
10,125,3,8,1228.000000,37.881394,33.778692,0.959687,0.841675,5122.000000,86.752522,59.245253,0.996561,0.700163,16.000000,4.242641,4.472136,0.843274,0.875758
10,125,4,5,1313.000000,36.414283,37.643060,0.957873,0.935472,6013.000000,82.042672,73.328030,0.999497,0.764731,11.000000,4.898979,4.472136,0.502079,0.722222
10,125,4,6,1162.000000,36.414283,32.878564,0.970558,0.930952,5417.000000,82.042672,66.037868,0.999830,0.731061,14.000000,4.898979,4.472136,0.639010,0.766667
10,125,4,7,1276.000000,36.414283,35.805028,0.978667,0.933333,6647.000000,82.042672,81.049368,0.999623,0.784933,10.000000,4.898979,4.582576,0.445435,0.720238
10,125,4,8,1141.000000,36.414283,33.778692,0.927622,0.911376,4854.000000,82.042672,59.245253,0.998634,0.707492,13.000000,4.898979,4.472136,0.593366,0.750896
10,125,5,6,1185.000000,37.643060,32.878564,0.957460,0.930481,4842.000000,73.328030,66.037868,0.999912,0.755037,15.000000,4.472136,4.472136,0.750000,0.866667
10,125,5,7,1309.000000,37.643060,35.805028,0.971205,0.935472,5939.000000,73.328030,81.049368,0.999295,0.771048,17.000000,4.472136,4.582576,0.829515,0.886905
10,125,5,8,1144.000000,37.643060,33.778692,0.899701,0.854189,4343.000000,73.328030,59.245253,0.999692,0.729396,18.000000,4.472136,4.472136,0.900000,0.939394
10,125,6,7,1150.000000,32.878564,35.805028,0.976879,0.873377,5350.000000,66.037868,81.049368,0.999565,0.736684,14.000000,4.472136,4.582576,0.683130,0.823633
10,125,6,8,1072.000000,32.878564,33.778692,0.965248,0.915556,3910.000000,66.037868,59.245253,0.999379,0.762860,15.000000,4.472136,4.472136,0.750000,0.866667
10,125,7,8,1145.000000,35.805028,33.778692,0.946714,0.911376,4797.000000,81.049368,59.245253,0.999002,0.712629,17.000000,4.582576,4.472136,0.829515,0.886905
